"BehaviorSpace results (NetLogo 3D 5.1.0)"
"/home/ec2-user/swarmSimRescue/rescueSwarm3D.nlogo3d"
"SwarmModSizeExperiment"
"09/14/2014 03:16:13:555 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","swarmBehaviour","swarmModificationSize","[step]","rescued","totalVictims"
"11","false","0.2","4390","12","12"
"17","false","0.2","4884","7","7"
"13","false","0.2","5112","11","11"
"23","false","0.2","6662","15","15"
"7","false","0.2","7331","24","24"
"18","false","0.2","7692","8","8"
"10","false","0.2","6206","7","7"
"12","false","0.2","7560","15","15"
"20","false","0.2","6582","11","11"
"24","false","0.2","8250","9","9"
"15","false","0.2","11645","5","5"
"30","false","0.2","4927","8","8"
"22","false","0.2","8199","5","5"
"3","false","0.2","8614","12","12"
"26","false","0.2","12282","12","12"
"2","false","0.2","8552","7","7"
"33","false","0.2","9505","14","14"
"16","false","0.2","20000","13","14"
"14","false","0.2","20000","18","19"
"4","false","0.2","20000","10","11"
"8","false","0.2","16700","12","12"
"6","false","0.2","11334","8","8"
"43","false","0.2","10559","15","15"
"1","false","0.2","20000","5","9"
"44","false","0.2","6295","7","7"
"34","false","0.2","20000","10","11"
"38","false","0.2","14074","13","13"
"50","false","0.2","6941","10","10"
"52","false","0.2","4607","10","10"
"21","false","0.2","20000","10","11"
"45","false","0.2","11174","25","25"
"41","false","0.2","20000","5","6"
"37","false","0.2","15685","9","9"
"53","false","0.2","6322","9","9"
"25","false","0.2","20000","12","13"
"35","false","0.2","17632","14","14"
"29","false","0.2","20000","9","10"
"36","false","0.2","20000","10","11"
"49","false","0.2","20000","16","17"
"48","false","0.2","12847","13","13"
"59","false","0.2","8029","19","19"
"51","false","0.2","13121","14","14"
"19","false","0.2","20000","15","16"
"9","false","0.2","20000","8","9"
"27","false","0.2","18494","16","16"
"42","false","0.2","20000","16","17"
"31","false","0.2","15750","12","12"
"47","false","0.2","20000","10","11"
"28","false","0.2","20000","10","14"
"39","false","0.2","12833","7","7"
"32","false","0.2","20000","14","15"
"66","false","0.2","7386","8","8"
"62","false","0.2","8083","10","10"
"76","false","0.2","3807","7","7"
"68","false","0.2","8991","13","13"
"61","false","0.2","11906","13","13"
"73","false","0.2","6932","11","11"
"58","false","0.2","20000","6","13"
"67","false","0.2","8877","16","16"
"60","false","0.2","20000","13","14"
"40","false","0.2","20000","9","10"
"70","false","0.2","8285","12","12"
"5","false","0.2","20000","8","9"
"80","false","0.2","7863","12","12"
"85","false","0.2","4405","11","11"
"71","false","0.2","12213","10","10"
"88","false","0.2","5423","7","7"
"55","false","0.2","20000","16","17"
"77","false","0.2","7661","11","11"
"64","false","0.2","20000","15","16"
"78","false","0.2","9706","13","13"
"92","false","0.2","6483","13","13"
"56","false","0.2","20000","9","10"
"94","false","0.2","4582","10","10"
"93","false","0.2","6222","11","11"
"83","false","0.2","6905","11","11"
"74","false","0.2","20000","10","15"
"65","false","0.2","18598","17","17"
"75","false","0.2","16793","18","18"
"99","false","0.2","3958","9","9"
"90","false","0.2","7759","16","16"
"63","false","0.2","20000","2","10"
"95","false","0.2","5319","10","10"
"101","false","0.2","3595","11","11"
"98","false","0.2","6032","9","9"
"91","false","0.2","9855","12","12"
"110","false","0.2","5044","11","11"
"96","false","0.2","8729","11","11"
"57","false","0.2","20000","9","10"
"82","false","0.2","10851","6","6"
"86","false","0.2","13090","9","9"
"114","false","0.2","4378","14","14"
"81","false","0.2","10198","10","10"
"100","false","0.2","11314","10","10"
"54","false","0.2","20000","12","13"
"46","false","0.2","20000","8","9"
"119","false","0.2","4469","14","14"
"115","false","0.2","7557","8","8"
"87","false","0.2","20000","14","15"
"84","false","0.2","20000","9","10"
"97","false","0.2","9210","12","12"
"108","false","0.2","4284","7","7"
"120","false","0.2","4906","13","13"
"118","false","0.2","5119","9","9"
"113","false","0.2","8733","11","11"
"109","false","0.2","10256","12","12"
"131","false","0.2","5312","14","14"
"121","false","0.2","4614","9","9"
"102","false","0.2","20000","12","13"
"130","false","0.2","6695","7","7"
"104","false","0.2","20000","12","17"
"103","false","0.2","20000","14","16"
"135","false","0.2","5732","14","14"
"128","false","0.2","8788","18","18"
"136","false","0.2","6083","14","14"
"79","false","0.2","20000","16","17"
"117","false","0.2","10672","8","8"
"72","false","0.2","20000","10","12"
"105","false","0.2","20000","14","15"
"112","false","0.2","20000","10","11"
"134","false","0.2","6167","14","14"
"106","false","0.2","20000","8","10"
"123","false","0.2","20000","4","12"
"127","false","0.2","12961","9","9"
"143","false","0.2","5404","11","11"
"111","false","0.2","19895","14","14"
"69","false","0.2","20000","14","15"
"126","false","0.2","14057","11","11"
"146","false","0.2","4830","14","14"
"137","false","0.2","20000","4","13"
"133","false","0.2","12976","16","16"
"147","false","0.2","5702","15","15"
"122","false","0.2","20000","9","11"
"145","false","0.2","7133","15","15"
"129","false","0.2","20000","16","17"
"150","false","0.2","5834","10","10"
"151","false","0.2","8874","17","17"
"89","false","0.2","20000","9","10"
"138","false","0.2","20000","2","14"
"144","false","0.2","8628","15","15"
"107","false","0.2","19356","9","9"
"141","false","0.2","11311","16","16"
"162","false","0.2","6062","11","11"
"161","false","0.2","6403","14","14"
"132","false","0.2","15319","13","13"
"155","false","0.2","10206","10","10"
"124","false","0.2","14979","19","19"
"139","false","0.2","20000","12","13"
"164","false","0.2","7866","13","13"
"116","false","0.2","16461","10","10"
"166","false","0.2","7557","18","18"
"142","false","0.2","20000","8","11"
"156","false","0.2","12305","16","16"
"160","false","0.2","12067","12","12"
"153","false","0.2","10825","11","11"
"173","false","0.2","6237","11","11"
"158","false","0.2","10704","13","13"
"167","false","0.2","9465","11","11"
"183","false","0.2","3984","6","6"
"154","false","0.2","20000","18","19"
"174","false","0.2","10864","16","16"
"184","false","0.2","4571","12","12"
"181","false","0.2","7523","10","10"
"125","false","0.2","12559","8","8"
"193","false","0.2","3531","16","16"
"189","false","0.2","8104","10","10"
"185","false","0.2","6389","9","9"
"157","false","0.2","12818","8","8"
"140","false","0.2","13717","18","18"
"149","false","0.2","19852","11","11"
"168","false","0.2","20000","8","10"
"163","false","0.2","20000","7","9"
"179","false","0.2","11169","10","10"
"195","false","0.2","3318","7","7"
"172","false","0.2","15926","10","10"
"190","false","0.2","6689","11","11"
"177","false","0.2","20000","12","13"
"176","false","0.2","11977","17","17"
"175","false","0.2","20000","9","11"
"192","false","0.2","6269","11","11"
"191","false","0.2","11294","7","7"
"203","false","0.2","4077","7","7"
"194","false","0.2","9655","9","9"
"205","false","0.2","5320","10","10"
"165","false","0.2","18661","16","16"
"188","false","0.2","16076","9","9"
"186","false","0.2","20000","10","11"
"187","false","0.2","9518","14","14"
"180","false","0.2","20000","12","13"
"170","false","0.2","16442","7","7"
"159","false","0.2","20000","18","19"
"152","false","0.2","20000","14","15"
"198","false","0.2","11812","13","13"
"206","false","0.2","8293","14","14"
"169","false","0.2","20000","12","13"
"182","false","0.2","13926","12","12"
"212","false","0.2","5970","11","11"
"200","false","0.2","20000","6","12"
"197","false","0.2","20000","11","14"
"225","false","0.2","8753","9","9"
"202","false","0.2","20000","13","14"
"210","false","0.2","20000","7","8"
"227","false","0.2","8240","8","8"
"171","false","0.2","20000","9","10"
"226","false","0.2","8710","14","14"
"229","false","0.2","6255","9","9"
"228","false","0.2","6703","16","16"
"221","false","0.2","13520","17","17"
"178","false","0.2","20000","11","12"
"208","false","0.2","20000","15","18"
"218","false","0.2","20000","12","13"
"211","false","0.2","20000","10","11"
"231","false","0.2","9898","12","12"
"214","false","0.2","20000","16","18"
"219","false","0.2","11853","17","17"
"215","false","0.2","20000","21","22"
"222","false","0.2","20000","9","13"
"213","false","0.2","20000","11","13"
"204","false","0.2","19747","14","14"
"235","false","0.2","7726","9","9"
"234","false","0.2","10568","18","18"
"216","false","0.2","20000","5","6"
"237","false","0.2","8098","11","11"
"209","false","0.2","20000","8","9"
"243","false","0.2","6291","6","6"
"199","false","0.2","16725","7","7"
"230","false","0.2","20000","12","13"
"242","false","0.2","8088","13","13"
"148","false","0.2","20000","10","16"
"196","false","0.2","11453","5","5"
"240","false","0.2","12176","9","9"
"251","false","0.2","5204","9","9"
"207","false","0.2","15349","12","12"
"246","false","0.2","10277","13","13"
"256","false","0.2","4903","9","9"
"252","false","0.2","5033","13","13"
"232","false","0.2","20000","10","11"
"238","false","0.2","9649","8","8"
"201","false","0.2","20000","15","16"
"223","false","0.2","12260","15","15"
"233","false","0.2","20000","12","13"
"254","false","0.2","7188","9","9"
"260","false","0.2","7064","7","7"
"220","false","0.2","20000","9","11"
"255","false","0.2","8643","11","11"
"245","false","0.2","20000","8","11"
"224","false","0.2","20000","9","10"
"249","false","0.2","12199","17","17"
"257","false","0.2","9441","18","18"
"270","false","0.2","4971","7","7"
"241","false","0.2","13996","10","10"
"236","false","0.2","20000","8","9"
"244","false","0.2","20000","11","12"
"248","false","0.2","12743","15","15"
"250","false","0.2","20000","11","13"
"267","false","0.2","9890","8","8"
"273","false","0.2","7336","7","7"
"269","false","0.2","10589","12","12"
"239","false","0.2","20000","11","12"
"247","false","0.2","20000","9","12"
"280","false","0.2","7605","11","11"
"265","false","0.2","9132","14","14"
"259","false","0.2","20000","8","10"
"283","false","0.2","5920","10","10"
"272","false","0.2","5436","14","14"
"266","false","0.2","9939","9","9"
"262","false","0.2","8075","12","12"
"275","false","0.2","9323","14","14"
"217","false","0.2","20000","9","10"
"287","false","0.2","6503","15","15"
"268","false","0.2","15494","20","20"
"276","false","0.2","6033","8","8"
"264","false","0.2","20000","14","16"
"253","false","0.2","20000","10","11"
"278","false","0.2","20000","14","15"
"271","false","0.2","11112","13","13"
"298","false","0.2","6795","10","10"
"292","false","0.2","8895","8","8"
"258","false","0.2","20000","14","15"
"302","false","0.2","5031","8","8"
"295","false","0.2","10573","13","13"
"291","false","0.2","7160","12","12"
"281","false","0.2","20000","10","11"
"294","false","0.2","8018","13","13"
"274","false","0.2","20000","8","9"
"307","false","0.2","4823","13","13"
"277","false","0.2","20000","12","13"
"284","false","0.2","20000","15","17"
"306","false","0.2","4089","5","5"
"293","false","0.2","10508","16","16"
"296","false","0.2","7662","10","10"
"290","false","0.2","10115","11","11"
"289","false","0.2","11770","16","16"
"288","false","0.2","10415","6","6"
"313","false","0.2","5211","14","14"
"282","false","0.2","20000","10","12"
"309","false","0.2","5790","20","20"
"322","false","0.2","5364","14","14"
"321","false","0.2","4508","9","9"
"310","false","0.2","10513","15","15"
"285","false","0.2","19627","13","13"
"305","false","0.2","11557","15","15"
"261","false","0.2","15995","11","11"
"303","false","0.2","16274","13","13"
"311","false","0.2","10325","16","16"
"308","false","0.2","7447","15","15"
"323","false","0.2","7262","11","11"
"312","false","0.2","9795","12","12"
"329","false","0.2","6537","12","12"
"286","false","0.2","15866","8","8"
"317","false","0.2","8308","15","15"
"319","false","0.2","9788","18","18"
"263","false","0.2","20000","12","13"
"326","false","0.2","6790","14","14"
"332","false","0.2","4082","7","7"
"279","false","0.2","20000","7","8"
"316","false","0.2","11760","12","12"
"340","false","0.2","4877","8","8"
"318","false","0.2","20000","8","10"
"320","false","0.2","15530","14","14"
"301","false","0.2","20000","9","10"
"339","false","0.2","4369","7","7"
"331","false","0.2","6827","10","10"
"297","false","0.2","11698","9","9"
"345","false","0.2","8493","20","20"
"348","false","0.2","5565","13","13"
"350","false","0.2","4019","8","8"
"315","false","0.2","20000","12","13"
"304","false","0.2","12297","12","12"
"344","false","0.2","7705","11","11"
"353","false","0.2","5350","7","7"
"354","false","0.2","4420","7","7"
"347","false","0.2","8713","14","14"
"356","false","0.2","2591","5","5"
"328","false","0.2","20000","8","9"
"333","false","0.2","20000","9","10"
"342","false","0.2","8731","7","7"
"346","false","0.2","9918","9","9"
"351","false","0.2","8757","11","11"
"341","false","0.2","10789","12","12"
"325","false","0.2","20000","17","18"
"357","false","0.2","6552","9","9"
"330","false","0.2","20000","10","11"
"327","false","0.2","11843","9","9"
"324","false","0.2","20000","9","10"
"343","false","0.2","11103","20","20"
"300","false","0.2","20000","6","7"
"314","false","0.2","20000","11","12"
"369","false","0.2","4684","8","8"
"365","false","0.2","7931","14","14"
"334","false","0.2","16575","10","10"
"373","false","0.2","6570","9","9"
"362","false","0.2","9601","12","12"
"299","false","0.2","20000","13","16"
"377","false","0.2","4868","8","8"
"367","false","0.2","9028","12","12"
"375","false","0.2","4861","10","10"
"352","false","0.2","20000","14","16"
"368","false","0.2","8153","15","15"
"378","false","0.2","4751","10","10"
"371","false","0.2","10723","13","13"
"379","false","0.2","7879","10","10"
"358","false","0.2","12652","13","13"
"380","false","0.2","4567","14","14"
"361","false","0.2","6518","9","9"
"372","false","0.2","9136","18","18"
"385","false","0.2","3931","7","7"
"359","false","0.2","20000","4","5"
"337","false","0.2","20000","17","18"
"336","false","0.2","20000","16","17"
"381","false","0.2","7106","13","13"
"366","false","0.2","8456","15","15"
"390","false","0.2","4645","10","10"
"363","false","0.2","20000","15","16"
"395","false","0.2","5110","14","14"
"400","false","0.2","4753","9","9"
"392","false","0.2","6263","12","12"
"382","false","0.2","11060","7","7"
"389","false","0.2","9487","16","16"
"349","false","0.2","20000","7","9"
"360","false","0.2","20000","9","11"
"376","false","0.2","20000","14","16"
"405","false","0.2","3873","13","13"
"391","false","0.2","7937","9","9"
"383","false","0.2","10557","11","11"
"388","false","0.2","9316","14","14"
"370","false","0.2","20000","13","15"
"364","false","0.2","20000","15","16"
"384","false","0.2","12822","9","9"
"394","false","0.2","10920","10","10"
"401","false","0.2","10015","15","15"
"398","false","0.2","10017","18","18"
"374","false","0.2","20000","7","8"
"406","false","0.2","8721","20","20"
"355","false","0.2","17135","13","13"
"393","false","0.2","20000","10","11"
"419","false","0.2","5295","11","11"
"416","false","0.2","6901","9","9"
"387","false","0.2","19845","11","11"
"417","false","0.2","5555","18","18"
"422","false","0.2","4491","11","11"
"386","false","0.2","8928","12","12"
"420","false","0.2","5325","6","6"
"411","false","0.2","9090","11","11"
"414","false","0.2","9323","16","16"
"421","false","0.2","8856","19","19"
"430","false","0.2","4364","10","10"
"423","false","0.2","8980","11","11"
"399","false","0.2","20000","12","14"
"425","false","0.2","6494","8","8"
"431","false","0.2","6355","7","7"
"407","false","0.2","11142","11","11"
"402","false","0.2","20000","10","12"
"396","false","0.2","20000","7","9"
"338","false","0.2","20000","20","21"
"427","false","0.2","7086","10","10"
"408","false","0.2","20000","8","10"
"426","false","0.2","9355","15","15"
"413","false","0.2","20000","16","17"
"443","false","0.2","4158","6","6"
"403","false","0.2","20000","14","16"
"404","false","0.2","12789","16","16"
"444","false","0.2","5099","8","8"
"412","false","0.2","20000","6","12"
"439","false","0.2","7559","10","10"
"424","false","0.2","10080","12","12"
"410","false","0.2","20000","10","11"
"445","false","0.2","6818","14","14"
"418","false","0.2","20000","6","7"
"429","false","0.2","20000","14","15"
"428","false","0.2","20000","16","17"
"438","false","0.2","20000","16","17"
"335","false","0.2","20000","13","14"
"457","false","0.2","6427","10","10"
"435","false","0.2","13384","8","8"
"436","false","0.2","20000","16","17"
"448","false","0.2","9691","8","8"
"440","false","0.2","14789","11","11"
"437","false","0.2","20000","8","10"
"433","false","0.2","20000","11","12"
"464","false","0.2","4498","11","11"
"415","false","0.2","20000","9","10"
"454","false","0.2","7247","7","7"
"409","false","0.2","20000","15","16"
"442","false","0.2","20000","14","15"
"441","false","0.2","11643","10","10"
"458","false","0.2","8542","11","11"
"467","false","0.2","6284","17","17"
"453","false","0.2","11377","16","16"
"473","false","0.2","3908","8","8"
